floor_number,no_of_flats,flat_area_sft,no_of_rooms,sand_tons,cement_tons,no_of_bricks,labour_count,labour_hours
6,4,1953,3,54.16,38.6,10398,19,152
8,2,1928,2,42.01,38.2,11549,19,209
8,3,1573,1,42.53,38.8,8513,15,135
5,2,757,3,16.96,14.52,4964,7,49
8,1,1328,4,25.69,26.14,7657,13,117
5,4,1450,5,37.72,19.96,9001,14,168
2,3,1624,4,37.15,20.16,8562,16,144
10,4,1030,6,19.44,13.6,6686,10,90
3,4,1321,6,30.47,18.45,7178,13,117
0,4,602,5,12.9,12.76,3341,6,48
7,2,1913,4,37.54,31.77,12116,19,171
9,4,940,1,18.1,14.77,5813,9,63
10,2,1769,2,40.28,41.66,9586,17,170
6,1,437,3,12.8,8.04,2503,4,44
9,4,1315,6,36.72,25.62,9013,13,104
5,3,1726,5,39.2,26.62,11656,17,204
7,4,1974,3,37.53,36.73,10277,19,133
6,3,1984,1,43.46,46.83,13743,19,133
9,2,656,2,19.63,11.33,4198,6,42
10,1,966,4,19.48,18.0,5369,9,108
10,2,565,6,13.12,12.85,3523,5,45
4,2,1609,6,40.74,26.53,8569,16,144
9,1,1359,1,30.24,30.19,9127,13,78
0,4,1847,5,44.98,45.27,12199,18,108
10,2,1960,5,45.1,26.81,13000,19,209
6,2,776,4,21.95,9.8,4778,7,63
2,2,1207,1,35.14,16.98,7949,12,120
2,4,801,1,14.61,15.53,5212,8,72
2,3,913,1,21.25,20.09,5025,9,108
8,1,1150,5,22.79,13.96,6246,11,132
8,1,576,4,13.72,7.76,3404,5,45
4,2,1688,4,41.24,41.69,11027,16,112
7,4,627,3,12.33,10.37,4114,6,48
0,4,971,1,25.92,18.54,6462,9,90
10,3,739,1,17.09,11.73,3765,7,70
10,3,1426,5,40.41,25.75,7674,14,112
0,4,1621,6,41.34,24.01,9847,16,128
5,4,1988,5,47.99,38.69,10510,19,228
8,1,1605,4,30.57,39.95,8138,16,112
2,1,1458,3,27.23,21.34,8948,14,126
7,3,1606,6,40.78,37.65,8707,16,144
8,2,1031,5,25.37,16.15,5719,10,60
10,4,1299,6,36.85,17.18,7803,12,144
2,2,1713,6,32.98,36.25,8904,17,153
7,4,1675,3,39.24,34.61,10856,16,112
3,3,1073,4,22.48,20.07,7295,10,120
2,2,670,4,12.13,11.52,4259,6,66
9,4,1322,4,31.5,16.43,8762,13,91
9,3,423,4,11.83,5.29,2233,4,36
8,1,1676,1,44.65,25.76,9797,16,112
6,2,589,6,10.74,13.85,3350,5,40
6,1,567,1,11.95,11.13,3808,5,30
2,2,1398,6,35.82,29.08,7519,13,143
9,3,1794,1,50.29,36.8,12102,17,204
9,2,1620,4,47.06,33.62,10300,16,96
8,3,1732,5,32.33,24.77,9287,17,119
1,3,1592,6,31.83,32.91,10322,15,150
0,4,443,2,9.62,8.84,2269,4,24
8,3,1822,2,39.89,38.91,10839,18,126
0,1,1139,3,26.94,20.82,6124,11,66
1,4,1728,3,42.56,39.85,10086,17,119
10,3,1008,3,27.13,21.77,5496,10,60
6,3,1164,5,22.35,18.82,7276,11,132
9,3,1701,2,32.59,35.96,9123,17,204
9,4,566,2,14.12,8.46,3596,5,55
6,4,519,5,11.22,9.04,3277,5,35
2,4,909,2,16.64,16.15,5864,9,99
10,4,1213,6,25.5,14.64,6096,12,132
8,3,1250,6,35.59,21.93,7214,12,120
5,2,1005,5,22.62,17.86,5200,10,80
0,3,1674,4,37.82,35.34,11311,16,192
10,3,1081,2,21.85,17.16,6386,10,100
0,2,1605,5,39.06,20.73,10043,16,128
10,2,1234,1,23.1,19.41,8355,12,132
8,2,1077,1,27.03,23.35,7270,10,60
7,3,412,4,10.84,8.04,2336,4,48
2,2,1965,1,46.12,23.81,11434,19,171
4,1,1347,5,40.08,16.36,8422,13,117
3,4,1328,3,25.9,30.5,7767,13,91
3,4,467,5,13.21,6.18,2557,4,32
9,4,1045,4,20.84,14.51,6254,10,100
1,3,1680,1,44.83,38.84,9676,16,192
10,2,1343,1,26.72,30.32,8026,13,156
9,3,1133,1,27.97,20.4,6761,11,121
6,3,448,5,8.73,10.73,2286,4,44
10,1,609,5,15.79,9.07,4135,6,72
2,2,1362,1,39.2,28.06,8462,13,130
8,1,1907,1,39.19,30.26,10110,19,228
0,4,1303,2,31.87,31.28,7524,13,104
1,4,1066,2,24.86,18.17,6305,10,60
3,2,1285,3,32.7,25.37,7188,12,120
3,4,1680,3,46.75,27.65,9137,16,160
10,2,735,4,19.95,17.17,3729,7,42
4,4,1303,1,28.93,17.04,8172,13,143
8,2,1299,1,27.14,28.11,6935,12,132
8,1,784,4,14.48,18.45,4624,7,56
5,4,1620,4,37.64,40.47,10449,16,160
4,1,1397,1,34.72,19.13,7911,13,130
4,2,1300,4,29.15,20.73,8656,13,130
2,2,1250,6,35.76,15.85,8661,12,84
4,4,1248,3,31.63,22.83,7777,12,108
3,2,1271,1,37.8,30.89,6536,12,84
5,1,1249,1,37.35,22.39,6521,12,96
0,1,1257,1,25.7,26.2,7389,12,72
3,3,633,3,12.55,15.56,3706,6,48
5,2,1944,6,51.54,29.87,11054,19,133
10,4,573,3,12.19,13.33,3261,5,35
9,4,1590,6,39.74,34.44,10051,15,90
4,2,1553,2,31.66,28.39,10844,15,180
2,3,1687,5,45.17,35.04,9720,16,144
10,3,317,4,7.29,4.3,2171,3,27
5,3,1377,4,30.63,17.98,9571,13,78
3,3,1045,3,25.74,23.43,6361,10,60
10,1,1151,4,29.76,19.13,7708,11,132
7,4,1648,2,42.31,23.8,9678,16,96
8,3,1801,6,50.93,34.25,12308,18,198
6,2,1775,5,44.79,26.7,10755,17,204
3,4,1498,6,44.05,18.24,9525,14,154
7,4,645,1,16.07,14.54,3480,6,36
10,1,1184,3,22.61,22.57,5993,11,132
7,2,508,3,10.36,9.21,3216,5,30
9,2,976,5,22.84,12.73,6648,9,63
0,1,1652,6,36.7,26.86,10441,16,96
10,1,1835,5,42.96,34.64,9218,18,108
10,3,683,5,17.26,10.54,3722,6,48
5,3,1943,2,50.04,29.82,10379,19,228
3,2,1620,1,47.1,33.7,8745,16,96
2,3,1355,6,34.73,19.83,8651,13,91
6,1,789,2,15.52,14.51,4611,7,70
0,3,1983,6,51.73,36.26,12512,19,152
7,2,324,5,8.29,6.05,1698,3,18
7,1,1953,6,54.74,35.83,12987,19,171
8,3,995,2,29.7,14.5,6244,9,63
3,3,1688,4,40.76,25.06,8572,16,96
10,1,1339,6,24.84,19.51,9328,13,156
1,2,1102,2,26.19,27.48,5562,11,66
5,1,751,2,22.14,18.09,3901,7,84
1,4,783,6,20.3,14.27,5096,7,84
4,3,1693,4,43.18,25.49,11215,16,112
5,2,326,2,6.91,6.67,2156,3,36
0,2,1202,2,24.33,16.43,8147,12,120
2,4,576,6,13.95,7.11,3092,5,40
0,1,1503,6,35.88,19.62,10206,15,90
2,2,1539,6,43.37,23.76,7729,15,180
9,4,1020,4,24.09,23.37,6259,10,80
10,4,862,6,19.19,21.24,5937,8,88
1,4,431,2,12.29,5.38,2293,4,40
2,3,910,2,24.24,12.19,5541,9,99
3,2,561,1,15.29,13.14,3063,5,30
0,1,892,6,25.89,17.91,5129,8,56
0,2,1521,2,39.84,29.75,10254,15,135
10,2,354,2,6.47,6.33,1878,3,18
2,3,1031,4,25.91,13.5,7191,10,60
6,2,756,6,20.76,11.68,4576,7,56
4,2,1310,2,23.69,19.6,7472,13,117
2,4,1147,2,20.84,24.73,8002,11,99
6,2,1882,6,38.09,25.94,11882,18,180
7,4,1294,3,31.82,17.02,8925,12,72
4,2,316,2,9.37,5.28,1828,3,24
1,3,808,1,22.65,10.0,4419,8,80
8,4,1731,5,37.57,42.54,9928,17,187
3,4,511,5,14.88,7.83,3537,5,35
8,3,324,5,8.55,6.13,2123,3,30
5,4,1678,2,40.31,24.13,10219,16,128
2,1,611,1,11.36,9.61,3165,6,48
8,3,1752,1,49.64,29.4,10748,17,153
4,4,1994,1,40.4,45.59,13684,19,190
7,1,789,5,17.68,9.89,4997,7,84
8,3,637,2,16.57,10.65,3522,6,42
1,4,1478,5,38.92,35.13,9021,14,98
5,4,717,6,19.03,12.18,3794,7,56
10,3,1186,2,34.96,19.37,6906,11,88
10,4,1645,4,32.14,37.09,8978,16,176
5,1,1282,2,30.17,31.24,7818,12,108
9,2,1256,1,36.0,24.53,6946,12,96
6,1,1221,2,26.6,21.02,7128,12,120
4,3,1320,6,34.55,23.09,8437,13,104
0,1,1700,2,38.47,23.79,10224,17,187
0,1,1786,4,48.37,23.93,10462,17,136
8,1,1864,2,50.92,25.88,10650,18,216
8,4,1453,5,40.21,34.49,9987,14,84
8,1,882,5,19.06,17.87,4958,8,88
5,3,450,6,8.47,7.02,2894,4,28
9,4,421,4,11.45,5.5,2767,4,28
1,4,1757,2,47.27,35.34,11677,17,187
1,4,1181,4,28.59,16.38,7790,11,121
9,4,1289,3,29.85,23.08,8270,12,120
4,4,759,4,18.74,17.24,4797,7,56
5,4,525,1,14.3,10.53,3130,5,35
4,1,1385,6,32.3,33.33,7476,13,117
10,4,835,4,16.56,14.49,5468,8,88
3,2,1089,6,26.38,16.39,5587,10,110
9,2,1117,3,20.74,23.45,5882,11,121
10,2,1677,5,33.3,38.16,8481,16,128
10,3,1754,5,40.17,37.94,9747,17,187
3,2,872,3,21.97,18.77,5625,8,56
10,1,884,6,23.16,13.71,4564,8,64
8,2,1001,3,29.52,16.46,6564,10,120
1,3,748,3,15.42,18.05,4256,7,42
8,4,1677,5,48.3,32.94,11664,16,128
1,1,695,3,18.29,9.02,4298,6,72
9,2,1770,5,35.85,34.58,9389,17,119
5,2,1206,1,27.78,21.47,7590,12,132
1,3,1529,4,34.79,21.19,8854,15,150
1,4,1617,1,33.66,37.71,9095,16,112
3,3,442,4,13.0,7.93,3064,4,48
2,1,1683,1,39.54,20.98,8962,16,128
9,4,327,5,5.98,4.6,1943,3,18
7,2,377,5,9.83,5.94,1897,3,27
0,3,702,1,15.6,9.49,4573,7,70
9,4,551,4,16.43,12.45,3549,5,40
10,4,1723,1,38.63,26.07,10528,17,153
4,4,1601,6,35.31,19.58,10436,16,144
9,4,310,6,7.12,7.55,1871,3,21
6,4,1979,3,49.98,38.12,13074,19,190
7,1,1959,1,54.43,28.64,12567,19,133
5,3,691,1,14.37,16.82,3582,6,42
10,4,1826,1,42.44,40.67,10298,18,162
8,2,1941,5,52.3,37.59,9780,19,228
9,4,1543,6,29.43,23.31,9972,15,105
7,1,1128,1,33.47,18.45,5643,11,110
7,4,1199,1,32.81,18.4,8025,11,110
3,1,1737,3,41.3,30.46,11170,17,102
4,1,1084,5,29.15,18.53,5514,10,80
2,4,740,3,22.1,11.58,4908,7,70
10,3,518,4,11.23,8.22,3585,5,35
8,2,947,5,24.42,20.21,6204,9,72
5,2,1103,2,25.94,16.75,7204,11,132
6,1,1314,4,33.39,24.52,6687,13,156
3,1,408,1,9.29,5.47,2297,4,40
10,3,357,4,9.78,4.86,1788,3,24
8,4,1336,4,25.86,27.5,8272,13,117
3,2,1439,2,39.72,18.33,7718,14,84
9,1,538,3,13.58,10.13,2838,5,55
6,3,346,5,10.25,8.48,2084,3,30
4,4,1574,2,39.93,36.02,8561,15,135
4,4,1532,1,39.14,26.78,8006,15,150
6,1,752,2,18.23,10.54,4923,7,49
10,2,1431,6,37.9,20.57,8225,14,126
5,3,1690,4,50.33,30.5,8575,16,160
2,3,357,6,6.7,6.81,2437,3,36
8,4,610,1,13.98,10.5,4105,6,72
7,4,1131,4,33.15,24.9,6707,11,132
8,4,551,2,15.56,10.28,3035,5,50
3,4,568,1,16.47,9.71,3322,5,35
9,3,1175,5,29.09,29.31,6706,11,88
8,2,1120,4,31.65,22.74,6566,11,66
9,4,1033,1,18.62,19.43,6842,10,80
10,1,827,2,23.57,15.74,4281,8,96
3,1,1023,1,18.54,17.07,6205,10,80
10,2,919,6,22.52,18.83,5614,9,108
2,3,972,4,18.3,23.23,6633,9,99
7,3,747,4,16.94,9.92,4514,7,49
2,3,1278,6,31.76,31.44,8857,12,108
9,3,1725,6,46.67,35.16,9888,17,136
10,4,1857,5,37.66,38.88,9477,18,216
2,3,1472,5,26.87,31.84,9364,14,154
0,1,1558,2,45.27,34.8,10054,15,150
9,1,1747,6,42.12,27.57,11233,17,136
4,3,1316,6,28.59,19.8,8288,13,104
9,3,1590,1,31.63,22.3,9231,15,150
5,2,1496,6,30.92,32.31,10162,14,154
8,2,511,1,11.87,9.71,3119,5,40
2,1,1699,1,31.39,30.48,9637,16,96
1,2,675,6,18.77,11.19,4585,6,36
10,3,887,1,24.43,16.52,4698,8,96
3,1,675,3,17.13,12.53,4128,6,72
5,4,727,5,20.47,14.45,4024,7,77
6,1,1413,3,31.45,19.45,8941,14,98
5,1,844,6,24.93,19.24,5642,8,64
3,3,1519,3,34.77,34.82,9007,15,105
0,4,426,2,9.89,7.8,2604,4,48
8,2,1271,2,28.81,30.1,6477,12,96
10,2,1266,4,37.63,22.9,8146,12,144
1,1,1388,3,29.56,25.58,8549,13,78
5,2,1476,1,36.18,23.16,7528,14,84
0,2,1000,3,29.15,17.94,5305,10,120
7,2,524,2,9.57,7.35,3469,5,35
7,2,1589,3,34.35,36.78,9106,15,105
3,3,1892,1,52.27,25.06,10511,18,216
10,4,1412,6,31.54,18.06,9066,14,84
9,2,705,4,13.27,13.37,4022,7,56
1,1,567,6,16.22,14.15,3680,5,60
4,4,960,3,23.47,12.84,6352,9,99
3,2,1958,2,55.78,24.06,12930,19,114
5,2,1701,3,48.17,22.17,11262,17,153
7,4,1455,3,26.55,35.7,8631,14,154
0,1,1119,2,22.03,25.27,7647,11,66
7,4,982,5,18.59,20.54,6487,9,99
9,1,1529,2,31.18,29.54,10153,15,135
0,3,1613,3,38.42,29.09,10408,16,176
0,4,1187,1,31.73,21.85,6837,11,88
2,4,721,5,20.3,16.1,4851,7,49
1,1,626,6,17.62,12.33,4210,6,42
1,4,1919,1,37.07,46.8,12218,19,209
4,3,1004,1,22.84,24.35,5185,10,90
0,2,835,1,23.3,17.28,5186,8,80
5,2,549,3,14.58,12.3,2897,5,55
7,3,795,5,16.64,15.8,5370,7,84
9,1,1700,6,38.35,26.53,10511,17,170
0,4,575,1,14.34,9.26,3025,5,60
7,3,1324,6,36.84,16.91,7035,13,78
9,2,689,6,20.63,14.65,4531,6,36
2,1,1961,4,53.43,28.27,10363,19,152
3,3,989,2,24.4,14.52,6078,9,90
5,4,952,2,26.73,22.65,5035,9,81
1,1,729,5,14.48,9.87,4246,7,42
5,1,1676,2,37.65,38.77,8600,16,96
9,4,1981,2,50.13,28.41,13029,19,171
4,4,1863,4,33.9,22.85,10401,18,162
2,1,1029,3,22.6,18.84,5671,10,120
1,4,1466,1,36.66,24.39,8751,14,168
9,3,534,6,13.25,6.51,3014,5,60
9,1,1190,3,25.72,27.65,7202,11,132
2,2,915,1,23.67,16.95,5283,9,81
6,1,1651,1,46.88,38.45,9721,16,96
0,4,851,5,23.21,16.34,5633,8,48
6,1,1427,1,28.3,17.72,7676,14,112
5,4,1251,4,35.43,20.17,6543,12,108
3,3,1568,2,40.0,33.78,8784,15,180
5,1,1222,4,36.42,19.53,7400,12,120
9,1,1933,3,53.19,38.86,12072,19,190
7,4,1042,6,29.95,14.1,5850,10,80
8,1,1318,6,28.4,18.53,7015,13,156
3,4,1822,2,50.25,22.15,9496,18,144
2,2,662,2,12.96,13.31,4314,6,42
10,1,840,1,20.03,12.4,5162,8,56
8,3,693,1,19.77,8.95,4172,6,54
6,1,1542,1,32.27,25.13,9711,15,150
0,2,747,2,22.23,11.36,4026,7,63
0,3,1728,4,34.18,37.81,10988,17,119
1,1,1039,6,28.2,18.04,6986,10,90
10,2,787,5,22.17,13.12,4143,7,49
0,1,1749,4,49.59,32.44,9405,17,204
10,2,1372,4,38.05,30.05,7613,13,117
3,3,315,6,7.01,6.88,1800,3,18
5,4,1573,5,32.56,38.04,8454,15,180
9,1,1738,5,49.9,24.54,11734,17,102
9,1,1956,5,58.67,35.38,12509,19,114
9,2,1298,4,33.43,28.88,7675,12,96
6,4,1362,3,40.12,26.28,9034,13,117
1,2,464,6,10.86,9.88,3007,4,44
4,3,521,3,14.62,8.69,2902,5,60
7,3,1528,5,30.87,37.0,7868,15,105
8,1,1335,1,36.58,32.69,8319,13,104
5,3,1667,3,36.34,40.12,9417,16,144
4,1,1943,4,37.49,41.5,10898,19,209
9,1,704,1,13.02,12.4,4540,7,49
7,3,413,6,8.73,7.27,2330,4,48
3,1,1597,2,39.77,24.1,10583,15,135
5,1,613,5,12.91,8.83,3778,6,54
3,2,1220,1,35.18,29.85,6181,12,96
1,1,747,6,18.88,16.9,4961,7,77
2,2,619,4,16.49,15.39,3217,6,60
4,2,1010,6,19.2,24.07,6143,10,120
7,3,671,2,14.0,12.94,4035,6,36
3,2,1576,4,35.0,19.45,8798,15,90
9,4,540,6,15.91,10.24,2989,5,50
5,3,768,4,15.16,16.95,5308,7,56
8,1,1449,4,29.38,26.41,8849,14,168
5,2,1513,4,35.08,21.35,10362,15,120
10,4,1426,3,27.79,19.95,7317,14,154
10,3,1705,5,47.33,29.3,10571,17,153
4,2,1646,5,30.62,33.53,8969,16,192
1,4,548,1,10.77,7.16,3726,5,30
7,1,914,1,19.63,21.6,5564,9,99
7,2,1274,3,30.74,21.48,6670,12,132
7,1,562,1,13.49,8.51,3765,5,60
0,1,1152,6,23.88,15.69,6058,11,88
8,1,406,4,9.64,7.94,2563,4,36
6,4,1830,3,34.4,31.53,12777,18,108
6,3,1422,3,40.51,35.17,9440,14,168
8,3,1910,6,52.74,29.52,10070,19,152
0,3,1801,5,48.56,33.58,10054,18,144
3,4,1444,6,31.07,19.33,8423,14,98
7,4,1163,4,34.06,17.55,6067,11,88
2,3,852,1,22.44,19.41,5951,8,56
1,1,609,4,17.92,14.85,3718,6,60
5,1,1100,2,23.74,26.99,6660,11,88
6,4,1292,1,23.28,21.67,8968,12,120
8,2,1189,6,24.77,17.0,6667,11,77
5,2,1386,5,35.57,16.84,6975,13,91
5,1,1931,2,43.9,35.12,13373,19,133
5,4,540,5,10.91,6.94,2977,5,55
8,3,1789,5,42.23,25.07,9351,17,187
4,4,539,2,10.15,11.58,3707,5,45
5,4,1591,2,33.24,33.76,11062,15,90
6,1,531,6,13.86,11.82,3116,5,50
5,2,1556,6,40.48,28.17,8662,15,180
8,1,645,6,13.11,13.06,3687,6,42
5,3,1695,3,42.66,25.53,10368,16,176
10,3,1101,1,25.77,21.56,5660,11,121
9,1,948,3,20.74,12.63,6241,9,81
0,3,1267,6,27.72,27.8,8499,12,72
4,2,850,2,18.57,16.35,4918,8,80
9,2,709,2,19.5,11.63,3676,7,63
8,3,693,5,19.33,16.19,4283,6,72
4,1,1371,6,38.86,29.66,8128,13,91
7,4,615,5,11.25,14.35,3686,6,54
1,3,300,1,8.81,6.27,1976,3,24
0,4,1531,5,29.4,27.81,8977,15,150
8,3,1221,6,27.01,18.95,6992,12,72
6,3,637,6,11.73,15.69,3303,6,66
8,1,1375,2,37.51,31.37,8536,13,104
10,3,573,1,15.35,13.7,3610,5,30
5,3,1910,4,40.02,29.06,9959,19,209
7,3,602,4,17.89,14.33,4102,6,36
7,4,353,4,8.99,4.47,2328,3,21
3,4,425,6,8.28,8.6,2447,4,40
9,4,1804,3,52.37,42.58,11330,18,126
6,3,1180,2,29.29,25.1,7249,11,88
4,3,668,1,16.75,14.81,3562,6,54
1,2,953,5,26.11,22.49,4786,9,108
7,4,1959,1,47.19,40.25,12971,19,114
7,2,975,3,22.47,11.9,5826,9,81
4,1,1599,4,43.92,28.27,9115,15,135
4,3,1848,5,48.58,29.7,10495,18,180
3,2,818,5,23.45,13.87,4612,8,72
8,1,310,2,6.24,3.78,1929,3,27
4,4,1043,2,19.64,22.37,7089,10,80
9,3,1458,4,28.57,30.21,8670,14,98
3,2,915,6,17.81,21.01,5573,9,63
4,2,1604,4,29.32,28.87,8619,16,192
9,4,1349,3,32.01,20.19,8355,13,117
10,1,686,5,14.51,13.14,4266,6,42
2,4,1101,4,32.17,14.47,7617,11,110
8,3,1372,1,37.65,24.64,8980,13,91
5,1,657,3,15.62,12.31,4416,6,72
3,2,930,4,23.81,18.86,6241,9,90
8,1,1581,5,28.56,25.77,8764,15,90
6,1,1550,6,39.16,23.63,10228,15,180
6,1,412,6,9.82,8.01,2272,4,48
3,3,1873,1,42.73,44.02,11062,18,126
8,2,364,4,8.09,4.9,2038,3,36
6,3,1223,5,28.16,30.1,6390,12,84
2,1,581,2,12.26,7.72,3163,5,35
8,1,953,5,25.02,19.22,5379,9,99
4,2,432,2,9.12,7.48,2376,4,44
0,3,313,3,6.55,5.99,2108,3,18
1,3,1382,4,36.78,31.68,8069,13,78
6,2,841,1,18.88,18.92,5772,8,56
0,1,1015,4,20.54,19.64,5493,10,90
9,1,1339,2,27.75,30.33,7790,13,78
6,2,1524,5,35.02,37.06,10381,15,150
1,4,1886,3,40.91,46.44,10513,18,216
2,2,749,3,20.8,17.82,4742,7,56
6,1,588,2,15.32,14.63,3293,5,60
7,3,1111,5,32.59,20.27,6816,11,99
1,3,1025,6,19.33,18.52,5552,10,80
9,4,1527,4,43.38,29.09,9872,15,90
8,4,1336,6,38.13,17.77,8048,13,117
7,2,1561,2,36.25,23.2,8744,15,165
9,3,1959,4,39.62,26.85,10601,19,152
2,1,426,3,10.43,10.17,2231,4,48
4,4,1383,6,26.37,32.49,9260,13,156
9,2,799,1,16.41,14.06,5090,7,77
4,2,740,3,19.49,15.54,3898,7,56
9,2,1298,6,35.89,16.33,7213,12,108
6,2,1950,5,56.59,44.64,13224,19,114
0,2,1630,1,47.67,38.19,8380,16,128
0,3,352,2,10.5,7.42,2290,3,33
6,2,536,1,13.05,10.3,3148,5,30
4,2,1331,5,25.23,21.23,8019,13,78
9,1,647,1,14.56,14.6,3563,6,48
1,3,1837,1,34.59,43.64,12050,18,198
4,1,996,1,25.16,16.72,5965,9,108
5,4,1379,1,26.05,20.65,7507,13,104
3,2,1531,2,43.05,23.53,8366,15,105
8,2,1895,2,38.84,40.09,12696,18,126
4,4,1991,2,54.3,35.0,12863,19,228
7,1,1516,6,31.53,20.06,8543,15,105
7,4,1829,2,33.04,33.25,9639,18,144
0,2,1111,3,27.0,26.36,5582,11,121
2,3,1986,6,42.59,34.97,10999,19,228
10,4,1670,4,38.53,40.58,9993,16,144
7,3,1847,2,36.73,24.88,9721,18,198
6,3,1806,3,41.94,27.74,9970,18,126
0,1,448,6,12.48,8.97,2435,4,40
2,3,325,2,6.03,4.59,2249,3,30
3,3,712,4,15.14,11.33,4106,7,49
0,1,1075,4,26.71,20.58,7378,10,80
9,3,338,4,9.99,7.74,1893,3,27
5,1,978,4,18.71,20.17,5187,9,63
0,1,580,5,13.94,14.05,3222,5,55
2,3,1950,3,42.86,42.54,13165,19,171
4,2,1974,5,51.6,27.32,12021,19,133
7,3,848,1,25.35,10.29,4246,8,64
6,4,1270,5,23.63,30.74,8187,12,144
4,4,922,3,18.08,19.09,6149,9,54
6,4,2000,6,48.56,44.69,12780,20,180
9,4,1494,4,44.1,29.21,9982,14,140
5,4,684,3,16.2,9.35,4638,6,42
1,3,559,6,12.76,9.33,3905,5,50
4,1,941,4,20.54,12.75,4749,9,54
5,3,931,4,20.78,13.35,6489,9,81
3,4,1689,5,44.53,26.16,11212,16,176
0,2,1943,1,53.82,28.94,13037,19,190
7,1,1204,5,32.86,27.87,7740,12,108
8,2,1932,2,50.15,43.83,11101,19,114
9,1,1911,3,50.91,31.89,10431,19,133
2,2,796,6,15.62,18.7,4123,7,56
4,2,1105,5,32.61,23.45,6675,11,77
2,1,1557,5,43.45,20.3,8633,15,105
4,2,1639,5,42.25,37.35,10552,16,96
8,3,1876,3,42.9,39.66,9919,18,180
5,4,703,1,13.78,17.0,3810,7,77
9,3,1441,3,34.24,25.57,7979,14,126
3,2,1620,5,43.28,20.46,8598,16,112
7,1,530,5,10.89,7.44,2927,5,60
3,1,1194,5,25.63,27.73,7111,11,88
3,3,475,5,11.58,11.62,3090,4,48
10,4,1634,4,45.74,35.82,11298,16,128
1,3,424,2,8.12,7.3,2341,4,32
9,2,476,5,10.3,7.97,2832,4,48
3,4,481,5,12.43,5.94,2741,4,24
10,2,426,2,8.4,7.1,2445,4,32
9,3,701,5,16.4,8.51,4743,7,77
5,4,332,1,8.51,7.04,2297,3,36
2,1,1541,2,43.5,35.48,9455,15,180
